epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,4942.65,0.7453,2.71065,0.74125,1.15079,0.72893,0.58449,0.62509,0.53778,0.37161,0.29936,0.20038,0.11219,1.04634,3.47187,1.27585,1.15625,0.0089011,0.0089011,0.0089011
113,4986.15,0.75308,2.71906,0.76144,1.15417,0.70593,0.58441,0.62697,0.53709,0.3779,0.31298,0.21744,0.12561,1.0638,3.4784,1.26237,1.17184,0.0088912,0.0088912,0.0088912
114,5030.14,0.75446,2.68411,0.75098,1.1637,0.72397,0.59102,0.63168,0.54359,0.38558,0.30835,0.20308,0.11312,1.05281,3.48059,1.23941,1.16057,0.0088813,0.0088813,0.0088813
115,5073.31,0.77679,2.72727,0.76552,1.16284,0.68122,0.60157,0.62394,0.53815,0.3584,0.31154,0.2187,0.12241,1.05199,3.53683,1.26874,1.15665,0.0088714,0.0088714,0.0088714
116,5116.98,0.77786,2.70093,0.76174,1.16548,0.67465,0.59373,0.62721,0.54096,0.35818,0.35679,0.23069,0.12677,1.04249,3.61988,1.30768,1.14929,0.0088615,0.0088615,0.0088615
117,5160.54,0.74356,2.68539,0.73865,1.16492,0.67888,0.61529,0.62678,0.53956,0.3516,0.3119,0.18634,0.09893,1.0643,3.53909,1.32398,1.16485,0.0088516,0.0088516,0.0088516
118,5204.06,0.77254,2.65642,0.7597,1.17245,0.71042,0.61535,0.63715,0.53882,0.3624,0.31576,0.21963,0.12105,1.06033,3.45614,1.23523,1.15641,0.0088417,0.0088417,0.0088417
119,5246.64,0.7484,2.69005,0.74085,1.15521,0.71547,0.6043,0.6284,0.54363,0.33326,0.302,0.18096,0.09656,1.05123,3.53707,1.26441,1.16165,0.0088318,0.0088318,0.0088318
120,5290.34,0.76865,2.63992,0.73998,1.16509,0.67649,0.62498,0.63641,0.54834,0.34544,0.31827,0.20418,0.11415,1.04121,3.48146,1.24169,1.15042,0.0088219,0.0088219,0.0088219
121,5333.94,0.78223,2.64494,0.74623,1.16516,0.71706,0.59396,0.6224,0.53928,0.36159,0.33025,0.20609,0.11148,1.05098,3.48765,1.27263,1.15095,0.008812,0.008812,0.008812
122,5377.42,0.74687,2.64903,0.73546,1.15752,0.67529,0.62007,0.63123,0.54231,0.33922,0.31782,0.19503,0.11069,1.0484,3.62926,1.23679,1.14653,0.0088021,0.0088021,0.0088021
123,5421.29,0.74924,2.64931,0.72196,1.15641,0.68828,0.60698,0.63392,0.5458,0.38045,0.34155,0.22655,0.13357,1.03922,3.43885,1.22132,1.14843,0.0087922,0.0087922,0.0087922
124,5464.43,0.76152,2.60567,0.7267,1.14871,0.67662,0.59067,0.62307,0.5431,0.33992,0.30936,0.20809,0.11883,1.03107,3.50136,1.24129,1.14228,0.0087823,0.0087823,0.0087823
125,5507.86,0.76202,2.61465,0.73449,1.15367,0.69633,0.6062,0.63532,0.54153,0.35983,0.34612,0.24074,0.13973,1.06307,3.53084,1.24011,1.16987,0.0087724,0.0087724,0.0087724
126,5551.2,0.76225,2.60973,0.72439,1.15183,0.68184,0.63199,0.63608,0.54851,0.37305,0.35636,0.21022,0.11375,1.04405,3.59802,1.29101,1.15483,0.0087625,0.0087625,0.0087625
127,5594.62,0.76527,2.65196,0.7226,1.15513,0.69953,0.6017,0.6346,0.54791,0.33935,0.30577,0.1833,0.09693,1.05494,3.45455,1.25361,1.17456,0.0087526,0.0087526,0.0087526
